A:1	0.0232558	0.186047	0.186047	0.139535	0.209302	0.209302
A:2	0.0232558	0.186047	0.186047	0.139535	0.209302	0.209302
A:3	0.0232558	0.186047	0.186047	0.139535	0.209302	0.209302
A:4	0.0232558	0.186047	0.186047	0.139535	0.209302	0.209302
A:5	0.0232558	0.186047	0.186047	0.139535	0.209302	0.209302
A:6	0.0232558	0.186047	0.186047	0.139535	0.209302	0.209302
C:1	0.325581	0.232558	0.511628	0.116279	0.395349	0.0930233
C:2	0.325581	0.232558	0.511628	0.116279	0.395349	0.0930233
C:3	0.325581	0.232558	0.511628	0.116279	0.395349	0.0930233
C:4	0.325581	0.232558	0.511628	0.116279	0.395349	0.0930233
C:5	0.325581	0.232558	0.511628	0.116279	0.395349	0.0930233
C:6	0.325581	0.232558	0.511628	0.116279	0.395349	0.0930233
G:1	0.162791	0.325581	0.0930233	0.674419	0	0.511628
G:2	0.162791	0.325581	0.0930233	0.674419	0	0.511628
G:3	0.162791	0.325581	0.0930233	0.674419	0	0.511628
G:4	0.162791	0.325581	0.0930233	0.674419	0	0.511628
G:5	0.162791	0.325581	0.0930233	0.674419	0	0.511628
G:6	0.162791	0.325581	0.0930233	0.674419	0	0.511628
T:1	0.488372	0.255814	0.209302	0.0697674	0.395349	0.186047
T:2	0.488372	0.255814	0.209302	0.0697674	0.395349	0.186047
T:3	0.488372	0.255814	0.209302	0.0697674	0.395349	0.186047
T:4	0.488372	0.255814	0.209302	0.0697674	0.395349	0.186047
T:5	0.488372	0.255814	0.209302	0.0697674	0.395349	0.186047
T:6	0.488372	0.255814	0.209302	0.0697674	0.395349	0.186047
