G	35	0	6.34788	9.14087	6.21659	0.456989	0.254301	1.79704	1.79704
H	35	0	-6.34788	8.7376	5.81333	0.543011	0.745699	0.72819	0.72819
S	35	0	4.61758	6.02369	3.09941	0.693548	0.524462	1.3224	1.3224
C	50	0	4.74741	5.71723	2.79295	0.424731	0.270161	1.57214	1.57214
W	35	0	-4.61758	5.69876	2.77448	0.306452	0.475538	0.644432	0.644432
D	50	0	-4.74741	5.40347	2.47919	0.575269	0.729839	0.788214	0.788214
A	4	0	4.56772	5.28643	2.36216	0.370968	0.230018	1.61278	1.61278
Y	50	0	4.26709	5.24876	2.32448	0.672043	0.515681	1.30321	1.30321
B	4	0	-4.56772	4.9759	2.05162	0.629032	0.769982	0.816944	0.816944
R	50	0	-4.26709	4.95081	2.02653	0.327957	0.484319	0.677151	0.677151
Y	48	0	4.12037	4.95081	2.02653	0.666667	0.515681	1.29279	1.29279
C	48	0	4.25202	4.80339	1.87911	0.408602	0.270161	1.51244	1.51244
R	48	0	-4.12037	4.663	1.73873	0.333333	0.484319	0.688252	0.688252
C	47	0	4.0869	4.51708	1.5928	0.403226	0.270161	1.49254	1.49254
D	48	0	-4.25202	4.51708	1.5928	0.591398	0.729839	0.810313	0.810313
W	28	0	3.89815	4.46343	1.53915	0.61828	0.475538	1.30017	1.30017
D	47	0	-4.0869	4.23994	1.31566	0.596774	0.729839	0.81768	0.81768
S	28	0	-3.89815	4.19678	1.2725	0.38172	0.524462	0.727832	0.727832
W	22	0	3.75133	4.19678	1.2725	0.612903	0.475538	1.28886	1.28886
H	50	0	3.41809	3.97997	1.05569	0.854839	0.745699	1.14636	1.14636
S	22	0	-3.75133	3.93953	1.01525	0.387097	0.524462	0.738083	0.738083
R	35	0	3.50904	3.78583	0.861547	0.612903	0.484319	1.26549	1.26549
C	51	0	3.59152	3.71321	0.78893	0.387097	0.270161	1.43284	1.43284
W	10	0	3.45768	3.6916	0.767323	0.602151	0.475538	1.26625	1.26625
W	30	0	3.45768	3.6916	0.767323	0.602151	0.475538	1.26625	1.26625
G	50	0	-3.41809	3.65831	0.734032	0.145161	0.254301	0.570825	0.570825
Y	35	0	-3.50904	3.54303	0.618751	0.387097	0.515681	0.750652	0.750652
T	2	0	3.46406	3.49634	0.572057	0.354839	0.24552	1.44526	1.44526
S	51	0	3.29618	3.47013	0.545855	0.645161	0.524462	1.23014	1.23014
D	51	0	-3.59152	3.46363	0.539349	0.612903	0.729839	0.839779	0.839779
S	10	0	-3.45768	3.45292	0.528637	0.397849	0.524462	0.758585	0.758585
S	30	0	-3.45768	3.45292	0.528637	0.397849	0.524462	0.758585	0.758585
W	2	0	3.31086	3.45292	0.528637	0.596774	0.475538	1.25495	1.25495
W	4	0	3.31086	3.45292	0.528637	0.596774	0.475538	1.25495	1.25495
V	2	0	-3.46406	3.2498	0.325516	0.645161	0.75448	0.855107	0.855107
V	35	0	3.00975	3.24387	0.319594	0.849462	0.75448	1.12589	1.12589
W	51	0	-3.29618	3.23622	0.311942	0.354839	0.475538	0.746184	0.746184
S	2	0	-3.31086	3.2234	0.299118	0.403226	0.524462	0.768836	0.768836
S	4	0	-3.31086	3.2234	0.299118	0.403226	0.524462	0.768836	0.768836
D	21	0	3.01357	3.21449	0.290212	0.827957	0.729839	1.13444	1.13444
D	28	0	3.01357	3.21449	0.290212	0.827957	0.729839	1.13444	1.13444
Y	47	0	3.09333	3.1433	0.219022	0.629032	0.515681	1.21981	1.21981
A	30	0	3.17389	3.07055	0.146269	0.327957	0.230018	1.42579	1.42579
H	34	0	2.91295	3.06773	0.143447	0.83871	0.745699	1.12473	1.12473
G	33	0	3.14869	3.05364	0.129362	0.354839	0.254301	1.39535	1.39535
G	53	0	3.14869	3.05364	0.129362	0.354839	0.254301	1.39535	1.39535
S	41	0	3.00253	3.01187	0.0875947	0.634409	0.524462	1.20964	1.20964
W	8	0	3.01721	3.00297	0.0786866	0.586021	0.475538	1.23233	1.23233
C	43	0	3.09613	2.99207	0.0677941	0.370968	0.270161	1.37313	1.37313
T	35	0	-3.00975	2.95891	0.0346282	0.150538	0.24552	0.613139	0.613139
C	21	0	-3.01357	2.94338	0.0191	0.172043	0.270161	0.636816	0.636816
C	28	0	-3.01357	2.94338	0.0191	0.172043	0.270161	0.636816	0.636816
R	47	0	-3.09333	2.92359	-0	0.370968	0.484319	0.765957	0.765957
Y	49	0	2.94661	2.92359	-0	0.623656	0.515681	1.20938	1.20938
K	25	0	2.93783	2.90139	-0	0.607527	0.499821	1.21549	1.21549
K	35	0	2.93783	2.90139	-0	0.607527	0.499821	1.21549	1.21549
M	50	0	2.92805	2.88742	-0	0.607527	0.500179	1.21462	1.21462
A	22	0	2.99966	2.83704	-0	0.322581	0.230018	1.40242	1.40242
B	30	0	-3.17389	2.83704	-0	0.672043	0.769982	0.872803	0.872803
G	18	0	2.98031	2.82624	-0	0.349462	0.254301	1.37421	1.37421
G	37	0	2.98031	2.82624	-0	0.349462	0.254301	1.37421	1.37421
H	33	0	-3.14869	2.82624	-0	0.645161	0.745699	0.865177	0.865177
H	53	0	-3.14869	2.82624	-0	0.645161	0.745699	0.865177	0.865177
G	34	0	-2.91295	2.79765	-0	0.16129	0.254301	0.634249	0.634249
S	60	0	2.85571	2.79699	-0	0.629032	0.524462	1.19938	1.19938
W	41	0	-3.00253	2.79699	-0	0.365591	0.475538	0.768796	0.768796
S	8	0	-3.01721	2.79154	-0	0.413978	0.524462	0.789339	0.789339
D	43	0	-3.09613	2.77011	-0	0.629032	0.729839	0.861878	0.861878
R	49	0	-2.94661	2.7132	-0	0.376344	0.484319	0.777058	0.777058
Y	26	0	2.79989	2.7132	-0	0.61828	0.515681	1.19896	1.19896
M	25	0	-2.93783	2.69302	-0	0.392473	0.500179	0.784665	0.784665
M	35	0	-2.93783	2.69302	-0	0.392473	0.500179	0.784665	0.784665
D	5	0	2.68332	2.68759	-0	0.817204	0.729839	1.11971	1.11971
K	50	0	-2.92805	2.67963	-0	0.392473	0.499821	0.785228	0.785228
M	34	0	2.78141	2.67963	-0	0.602151	0.500179	1.20387	1.20387
A	8	0	2.82543	2.61329	-0	0.317204	0.230018	1.37904	1.37904
B	22	0	-2.99966	2.61329	-0	0.677419	0.769982	0.879786	0.879786
H	18	0	-2.98031	2.60824	-0	0.650538	0.745699	0.872386	0.872386
H	37	0	-2.98031	2.60824	-0	0.650538	0.745699	0.872386	0.872386
S	53	0	2.70888	2.59146	-0	0.623656	0.524462	1.18913	1.18913
W	60	0	-2.85571	2.59146	-0	0.370968	0.475538	0.780102	0.780102
T	26	0	2.7826	2.56715	-0	0.333333	0.24552	1.35766	1.35766
H	10	0	2.5762	2.54367	-0	0.827957	0.745699	1.11031	1.11031
